FileName,Label,Dataset
70025008,Bearded Seal,Watkins Marine Mammals Sound
71012002,Bearded Seal,Watkins Marine Mammals Sound
7801800J,Bearded Seal,Watkins Marine Mammals Sound
7202100V,Bearded Seal,Watkins Marine Mammals Sound
71012003,Bearded Seal,Watkins Marine Mammals Sound
70025009,Bearded Seal,Watkins Marine Mammals Sound
71012001,Bearded Seal,Watkins Marine Mammals Sound
7202100T,Bearded Seal,Watkins Marine Mammals Sound
72021005,Bearded Seal,Watkins Marine Mammals Sound
7801800H,Bearded Seal,Watkins Marine Mammals Sound
71012004,Bearded Seal,Watkins Marine Mammals Sound
71012005,Bearded Seal,Watkins Marine Mammals Sound
7801800M,Bearded Seal,Watkins Marine Mammals Sound
71012007,Bearded Seal,Watkins Marine Mammals Sound
71012006,Bearded Seal,Watkins Marine Mammals Sound
66038007,Bearded Seal,Watkins Marine Mammals Sound
70025001,Bearded Seal,Watkins Marine Mammals Sound
78018005,Bearded Seal,Watkins Marine Mammals Sound
7801800B,Bearded Seal,Watkins Marine Mammals Sound
66038004,Bearded Seal,Watkins Marine Mammals Sound
70025002,Bearded Seal,Watkins Marine Mammals Sound
71012008,Bearded Seal,Watkins Marine Mammals Sound
71012009,Bearded Seal,Watkins Marine Mammals Sound
70025003,Bearded Seal,Watkins Marine Mammals Sound
66038005,Bearded Seal,Watkins Marine Mammals Sound
66038001,Bearded Seal,Watkins Marine Mammals Sound
70025007,Bearded Seal,Watkins Marine Mammals Sound
78018003,Bearded Seal,Watkins Marine Mammals Sound
78018002,Bearded Seal,Watkins Marine Mammals Sound
7801800D,Bearded Seal,Watkins Marine Mammals Sound
70025006,Bearded Seal,Watkins Marine Mammals Sound
66038002,Bearded Seal,Watkins Marine Mammals Sound
70025004,Bearded Seal,Watkins Marine Mammals Sound
7202100Z,Bearded Seal,Watkins Marine Mammals Sound
78018001,Bearded Seal,Watkins Marine Mammals Sound
70025005,Bearded Seal,Watkins Marine Mammals Sound
66038003,Bearded Seal,Watkins Marine Mammals Sound
7900200Z,Southern Right Whale,Watkins Marine Mammals Sound
7900200L,Southern Right Whale,Watkins Marine Mammals Sound
7900200Y,Southern Right Whale,Watkins Marine Mammals Sound
7900200X,Southern Right Whale,Watkins Marine Mammals Sound
7900200K,Southern Right Whale,Watkins Marine Mammals Sound
83002009,Southern Right Whale,Watkins Marine Mammals Sound
7900200S,Southern Right Whale,Watkins Marine Mammals Sound
8300200B,Southern Right Whale,Watkins Marine Mammals Sound
83002004,Southern Right Whale,Watkins Marine Mammals Sound
8300200C,Southern Right Whale,Watkins Marine Mammals Sound
7900200R,Southern Right Whale,Watkins Marine Mammals Sound
8300200A,Southern Right Whale,Watkins Marine Mammals Sound
7900200Q,Southern Right Whale,Watkins Marine Mammals Sound
79002010,Southern Right Whale,Watkins Marine Mammals Sound
79002004,Southern Right Whale,Watkins Marine Mammals Sound
7900200U,Southern Right Whale,Watkins Marine Mammals Sound
83002002,Southern Right Whale,Watkins Marine Mammals Sound
7900200T,Southern Right Whale,Watkins Marine Mammals Sound
79002011,Southern Right Whale,Watkins Marine Mammals Sound
79002007,Southern Right Whale,Watkins Marine Mammals Sound
7900200V,Southern Right Whale,Watkins Marine Mammals Sound
79002013,Southern Right Whale,Watkins Marine Mammals Sound
83002001,Southern Right Whale,Watkins Marine Mammals Sound
79002012,Southern Right Whale,Watkins Marine Mammals Sound
7900200W,Southern Right Whale,Watkins Marine Mammals Sound
59037005,White-beaked Dolphin,Watkins Marine Mammals Sound
7001400Q,White-beaked Dolphin,Watkins Marine Mammals Sound
70014014,White-beaked Dolphin,Watkins Marine Mammals Sound
7200500W,White-beaked Dolphin,Watkins Marine Mammals Sound
72005007,White-beaked Dolphin,Watkins Marine Mammals Sound
7200500V,White-beaked Dolphin,Watkins Marine Mammals Sound
5903700B,White-beaked Dolphin,Watkins Marine Mammals Sound
59037012,White-beaked Dolphin,Watkins Marine Mammals Sound
59037006,White-beaked Dolphin,Watkins Marine Mammals Sound
7200500C,White-beaked Dolphin,Watkins Marine Mammals Sound
72005005,White-beaked Dolphin,Watkins Marine Mammals Sound
70006003,White-beaked Dolphin,Watkins Marine Mammals Sound
72005004,White-beaked Dolphin,Watkins Marine Mammals Sound
7200500U,White-beaked Dolphin,Watkins Marine Mammals Sound
59037007,White-beaked Dolphin,Watkins Marine Mammals Sound
59037013,White-beaked Dolphin,Watkins Marine Mammals Sound
7200500F,White-beaked Dolphin,Watkins Marine Mammals Sound
7200500G,White-beaked Dolphin,Watkins Marine Mammals Sound
7001400V,White-beaked Dolphin,Watkins Marine Mammals Sound
72005001,White-beaked Dolphin,Watkins Marine Mammals Sound
7200500P,White-beaked Dolphin,Watkins Marine Mammals Sound
5903700S,White-beaked Dolphin,Watkins Marine Mammals Sound
59037016,White-beaked Dolphin,Watkins Marine Mammals Sound
5903700Q,White-beaked Dolphin,Watkins Marine Mammals Sound
59037014,White-beaked Dolphin,Watkins Marine Mammals Sound
5903700F,White-beaked Dolphin,Watkins Marine Mammals Sound
7001400T,White-beaked Dolphin,Watkins Marine Mammals Sound
72005003,White-beaked Dolphin,Watkins Marine Mammals Sound
70014011,White-beaked Dolphin,Watkins Marine Mammals Sound
7200500E,White-beaked Dolphin,Watkins Marine Mammals Sound
70006004,White-beaked Dolphin,Watkins Marine Mammals Sound
7200500D,White-beaked Dolphin,Watkins Marine Mammals Sound
