FilePath,Classe
Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_resampled_18.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/7801800M_resampled_3.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/Bearded_Seal_resampled_12.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/Bearded_Seal_resampled_13.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/7801800M_resampled_2.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/7801800M_resampled_0.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/Bearded_Seal_resampled_11.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_resampled_8.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_resampled_9.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/Bearded_Seal_resampled_10.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/7801800M_resampled_1.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/70025008_resampled_0.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/Bearded_Seal_resampled_14.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/Bearded_Seal_resampled_15.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/66038007_resampled_2.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/71012007_resampled_0.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/66038007_resampled_0.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/71012008_resampled_0.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/Bearded_Seal_resampled_17.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/Bearded_Seal_resampled_16.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/70025007_resampled_0.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/66038007_resampled_1.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/Bearded_Seal_resampled_8.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/70025009_resampled_0.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/78018001_resampled_7.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/78018001_resampled_6.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/71012006_resampled_0.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/Bearded_Seal_resampled_9.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/71012009_resampled_0.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/78018001_resampled_4.png,Bearded Seal
