FilePath,Classe,File,Set
Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_resampled_18.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip,train
Spettrogrammi/Non-Target/Bearded Seal/7801800M_resampled_3.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/7801800M,train
Spettrogrammi/Non-Target/Bearded Seal/7801800M_resampled_2.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/7801800M,train
Spettrogrammi/Non-Target/Bearded Seal/7801800M_resampled_0.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/7801800M,train
Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_resampled_8.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip,train
Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_resampled_9.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip,train
Spettrogrammi/Non-Target/Bearded Seal/7801800M_resampled_1.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/7801800M,train
Spettrogrammi/Non-Target/Bearded Seal/70025008_resampled_0.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/70025008,train
Spettrogrammi/Non-Target/Bearded Seal/66038007_resampled_2.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/66038007,train
Spettrogrammi/Non-Target/Bearded Seal/71012007_resampled_0.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/71012007,train
Spettrogrammi/Non-Target/Bearded Seal/66038007_resampled_0.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/66038007,train
Spettrogrammi/Non-Target/Bearded Seal/66038007_resampled_1.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/66038007,train
Spettrogrammi/Non-Target/Bearded Seal/70025009_resampled_0.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/70025009,train
Spettrogrammi/Non-Target/Bearded Seal/78018001_resampled_7.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/78018001,train
Spettrogrammi/Non-Target/Bearded Seal/78018001_resampled_6.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/78018001,train
Spettrogrammi/Non-Target/Bearded Seal/71012006_resampled_0.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/71012006,train
Spettrogrammi/Non-Target/Bearded Seal/71012009_resampled_0.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/71012009,train
Spettrogrammi/Non-Target/Bearded Seal/78018001_resampled_4.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/78018001,train
Spettrogrammi/Non-Target/Bearded Seal/78018001_resampled_5.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/78018001,train
Spettrogrammi/Non-Target/Bearded Seal/66038001_resampled_1.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/66038001,train
Spettrogrammi/Non-Target/Bearded Seal/70025001_resampled_0.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/70025001,train
Spettrogrammi/Non-Target/Bearded Seal/78018001_resampled_1.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/78018001,train
Spettrogrammi/Non-Target/Bearded Seal/78018001_resampled_0.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/78018001,train
Spettrogrammi/Non-Target/Bearded Seal/66038001_resampled_0.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/66038001,train
Spettrogrammi/Non-Target/Bearded Seal/78018001_resampled_2.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/78018001,train
Spettrogrammi/Non-Target/Bearded Seal/78018001_resampled_3.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/78018001,train
Spettrogrammi/Non-Target/Bearded Seal/71012004_resampled_0.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/71012004,train
Spettrogrammi/Non-Target/Bearded Seal/66038004_resampled_2.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/66038004,train
